Date,Open,High,Low,Close,Adj Close,Volume
3/30/2023,4810,4810,4740,4750,4508.450684,98847200
3/31/2023,4730,4750,4710,4730,4489.467773,161561800
4/3/2023,4770,4800,4760,4800,4555.907715,133511700
4/4/2023,4800,4820,4760,4820,4574.891113,88097800
4/5/2023,4810,4880,4800,4830,4584.382324,119316500
4/6/2023,4860,4860,4820,4840,4593.874023,88012300
4/10/2023,4860,4860,4820,4860,4612.856934,58886800
4/11/2023,4860,4890,4830,4880,4631.839844,67275600
4/12/2023,4950,4950,4890,4930,4679.297363,194839900
4/13/2023,4950,5000,4930,4980,4726.754395,141279800
4/14/2023,5050,5100,5000,5075,4816.92334,190097200
4/17/2023,5075,5075,4960,4990,4736.246094,121231300
4/18/2023,4990,5025,4950,4950,4698.280273,95747700
4/26/2023,5150,5150,4930,5025,4769.466309,273336000
4/27/2023,4990,5150,4990,5150,4888.109375,125947200
4/28/2023,5175,5275,5100,5100,4840.652344,251912000
5/2/2023,5175,5175,5050,5150,4888.109375,84246100
5/3/2023,5225,5225,5050,5100,4840.652344,183524700
5/4/2023,5150,5175,5075,5150,4888.109375,140482000
5/5/2023,5225,5250,5125,5225,4959.29541,182599600
5/8/2023,5250,5250,5050,5100,4840.652344,107804200
5/9/2023,5050,5125,5025,5125,4864.380859,102987300
5/10/2023,5075,5150,5050,5150,4888.109375,108369600
5/11/2023,5175,5175,5100,5150,4888.109375,85618800
5/12/2023,5100,5175,5100,5150,4888.109375,92625800
5/15/2023,5150,5175,5025,5150,4888.109375,163732600
5/16/2023,5175,5200,5100,5200,4935.566895,73611200
5/17/2023,5250,5250,5175,5200,4935.566895,115834500
5/19/2023,5225,5450,5200,5400,5125.396484,185672200
5/22/2023,5300,5500,5300,5425,5149.125,162655900
5/23/2023,5475,5600,5475,5500,5220.311035,255251600
5/24/2023,5525,5600,5450,5600,5315.226074,187436100
5/25/2023,5500,5575,5450,5475,5196.58252,224391900
5/26/2023,5425,5600,5425,5600,5315.226074,154003100
5/29/2023,5600,5625,5475,5550,5267.768555,125049100
5/30/2023,5500,5600,5500,5500,5220.311035,67363200
5/31/2023,5575,5575,5375,5575,5291.49707,898453700
6/5/2023,5600,5600,5425,5425,5149.125,255472600
6/6/2023,5400,5500,5350,5450,5172.854004,92019300
6/7/2023,5475,5475,5350,5400,5125.396484,150377000
6/8/2023,5375,5475,5350,5475,5196.58252,92794100
6/9/2023,5425,5450,5375,5425,5149.125,77251000
6/12/2023,5400,5400,5375,5400,5125.396484,92314200
6/13/2023,5400,5550,5400,5550,5267.768555,108831400
6/14/2023,5575,5575,5475,5550,5267.768555,79137600
6/15/2023,5475,5525,5450,5525,5244.040039,74388400
6/16/2023,5475,5550,5400,5550,5267.768555,189062600
6/19/2023,5500,5525,5450,5525,5244.040039,55144200
6/20/2023,5475,5550,5475,5550,5267.768555,102926800
6/21/2023,5500,5575,5500,5575,5291.49707,84605400
6/22/2023,5550,5600,5475,5475,5196.58252,94143200
6/23/2023,5425,5475,5400,5400,5125.396484,123350300
6/26/2023,5425,5475,5375,5450,5172.854004,85472100
6/27/2023,5450,5500,5425,5425,5149.125,110716500
7/3/2023,5500,5550,5450,5475,5196.58252,168559800
7/4/2023,5500,5500,5425,5450,5172.854004,94462600
7/5/2023,5400,5450,5400,5450,5172.854004,109632800
7/6/2023,5450,5475,5400,5425,5149.125,109446200
7/7/2023,5400,5425,5375,5375,5101.667969,114043800
7/10/2023,5425,5500,5400,5400,5125.396484,78972100
7/11/2023,5375,5450,5375,5425,5149.125,122094700
7/12/2023,5450,5475,5425,5450,5172.854004,104993700
7/13/2023,5425,5475,5425,5450,5172.854004,134905700
7/14/2023,5450,5525,5425,5525,5244.040039,127814200
7/17/2023,5550,5625,5525,5575,5291.49707,166951300
7/18/2023,5625,5700,5600,5625,5338.95459,120810300
7/20/2023,5575,5650,5550,5625,5338.95459,111117300
7/21/2023,5600,5625,5575,5625,5338.95459,63094600
7/24/2023,5600,5650,5600,5600,5315.226074,62962500
7/25/2023,5625,5700,5625,5650,5362.683105,111248100
7/26/2023,5700,5700,5650,5675,5386.412109,76200300
7/27/2023,5675,5750,5650,5650,5362.683105,109859200
7/28/2023,5625,5700,5625,5700,5410.140625,74036700
7/31/2023,5700,5700,5650,5650,5362.683105,186727400
8/1/2023,5650,5750,5650,5700,5410.140625,100137500
8/2/2023,5650,5725,5650,5700,5410.140625,90611300
8/3/2023,5675,5750,5650,5700,5410.140625,82775000
8/4/2023,5700,5725,5575,5575,5291.49707,150738500
8/7/2023,5600,5725,5575,5700,5410.140625,88104900
8/8/2023,5700,5750,5600,5625,5338.95459,89189600
8/9/2023,5650,5725,5625,5700,5410.140625,91930000
8/10/2023,5675,5725,5675,5700,5410.140625,85474200
8/11/2023,5675,5700,5650,5650,5362.683105,74321000
8/14/2023,5650,5675,5575,5650,5362.683105,127358400
8/15/2023,5650,5675,5575,5575,5291.49707,89597300
8/16/2023,5550,5575,5450,5525,5244.040039,188191900
8/18/2023,5500,5600,5500,5575,5291.49707,121561200
8/21/2023,5550,5575,5500,5500,5220.311035,91640000
8/22/2023,5500,5625,5500,5575,5291.49707,101221500
8/23/2023,5600,5625,5575,5600,5315.226074,78686900
8/24/2023,5625,5625,5550,5550,5267.768555,74407500
8/25/2023,5550,5600,5525,5600,5315.226074,65096500
8/28/2023,5600,5625,5550,5550,5267.768555,37126600
8/29/2023,5525,5600,5525,5600,5315.226074,57547200
8/30/2023,5600,5600,5500,5525,5244.040039,171282700
8/31/2023,5525,5550,5475,5550,5267.768555,175088200
9/1/2023,5600,5600,5525,5575,5291.49707,87366100
9/4/2023,5600,5625,5575,5625,5338.95459,43898200
9/5/2023,5625,5650,5600,5625,5338.95459,72464300
9/6/2023,5625,5650,5575,5575,5291.49707,106367800
9/7/2023,5525,5550,5450,5450,5172.854004,157998600
9/8/2023,5425,5450,5300,5350,5077.938965,243324500
9/11/2023,5350,5425,5300,5425,5149.125,80474100
9/12/2023,5450,5475,5375,5375,5101.667969,121654400
9/13/2023,5350,5425,5350,5400,5125.396484,59408000
9/14/2023,5325,5425,5325,5425,5149.125,76831700
9/15/2023,5400,5450,5375,5375,5101.667969,141455400
9/18/2023,5350,5400,5300,5325,5054.210449,61329000
9/19/2023,5325,5375,5300,5375,5101.667969,50612700
9/20/2023,5350,5450,5350,5375,5101.667969,98710100
9/21/2023,5425,5425,5350,5350,5077.938965,68584900
9/22/2023,5350,5425,5350,5350,5077.938965,83184100
9/25/2023,5325,5350,5200,5300,5030.481934,120196700
9/26/2023,5250,5275,5200,5200,4935.566895,180280600
9/27/2023,5175,5300,5175,5225,4959.29541,119774700
9/29/2023,5300,5325,5225,5225,4959.29541,140331100
10/2/2023,5250,5300,5250,5250,4983.024414,81674600
10/3/2023,5250,5300,5250,5275,5006.75293,54462700
10/4/2023,5250,5275,5200,5250,4983.024414,121445000
10/5/2023,5250,5275,5175,5175,4911.838379,116814800
10/6/2023,5200,5250,5175,5175,4911.838379,70202300
10/9/2023,5200,5225,5125,5125,4864.380859,144477000
10/10/2023,5125,5250,5125,5175,4911.838379,98457000
10/11/2023,5150,5275,5150,5250,4983.024414,100394800
10/12/2023,5300,5375,5275,5300,5030.481934,174022400
10/13/2023,5275,5325,5250,5275,5006.75293,84648800
10/16/2023,5325,5325,5250,5250,4983.024414,45782300
10/17/2023,5250,5275,5150,5150,4888.109375,127287200
10/18/2023,5125,5225,5125,5150,4888.109375,77217600
10/19/2023,5100,5150,5000,5000,4745.737305,195831400
10/20/2023,4980,5100,4960,5050,4793.194824,173353600
10/23/2023,5000,5075,4990,5000,4745.737305,82756100
10/24/2023,5000,5100,4950,5100,4840.652344,104021500
10/25/2023,5100,5200,5100,5175,4911.838379,142215000
10/26/2023,5175,5175,4920,4920,4669.805664,330618800
10/27/2023,4950,5050,4940,5000,4745.737305,129599800
